address,rent,beds,baths,sqft,url,neighborhood,dishwasher,in_unit_laundry,amenities,open_house,open_house_start,open_house_end,status,first_seen_at,last_seen_at,notes,source
"1057 Atlantic Avenue #PH18, Brooklyn, NY",$3531,1,1,,https://streeteasy.com/building/atlanticbk-1057-atlantic-avenue-brooklyn/ph18,,,,new development,Sun Jul 25 · 9:30 AM–5:30 PM,2027-07-25T09:30,2027-07-25T17:30,active,2026-07-27,2026-07-29,base $4100; using net effective rent,streeteasy_html
"106 Fleet Place #12F, New York, NY",$3600,0,1,,https://streeteasy.com/building/the-fleet-106-fleet-place/12f,,,,new development,Thu Jul 30 · 9:00 AM–8:00 PM,2026-07-30T09:00,2026-07-30T20:00,active,2026-07-28,2026-07-29,base $3900; using net effective rent,streeteasy_html
"106 Fleet Place #4B, New York, NY",$3462,0,1,,https://streeteasy.com/building/the-fleet-106-fleet-place/4b,,,,new development,Wed Jul 29 · 9:00 AM–8:00 PM,2026-07-29T09:00,2026-07-29T20:00,active,2026-07-28,2026-07-29,base $3750; using net effective rent,streeteasy_html
"106 Fulton Street #7H, New York, NY",$3900,1,1,,https://streeteasy.com/building/106-fulton-street-new_york/7h,Fulton/Seaport,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"106 Fulton Street #9B, New York, NY",$3600,1,1,,https://streeteasy.com/building/106-fulton-street-new_york/9b,Fulton/Seaport,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"11 Ocean Parkway #1104, New York, NY",$3958,1,1,,https://streeteasy.com/building/one-park-point/1104,Windsor Terrace,,,,Thu Jul 30 · 3:00 PM–7:00 PM,2026-07-30T15:00,2026-07-30T19:00,active,2026-07-28,2026-07-29,base $4700; using net effective rent,streeteasy_html
"11 Ocean Parkway #630, New York, NY",$3392,1,1,,https://streeteasy.com/building/one-park-point/630,Windsor Terrace,,,,Wed Jul 29 · 2:00 PM–7:00 PM,2026-07-29T14:00,2026-07-29T19:00,active,2026-07-28,2026-07-28,base $3700; using net effective rent,streeteasy_html
"11 Ocean Parkway #729, New York, NY",$3750,1,1,,https://streeteasy.com/building/one-park-point/729,Windsor Terrace,,,,Thu Jul 30 · 3:00 PM–7:00 PM,2026-07-30T15:00,2026-07-30T19:00,active,2026-07-28,2026-07-29,base $4500; using net effective rent,streeteasy_html
"11 Ocean Parkway #817, New York, NY",$3258,1,1,,https://streeteasy.com/building/one-park-point/817,Windsor Terrace,,,,,,,active,2026-07-27,2026-07-27,base $3850; using net effective rent,streeteasy_html
"11 Ocean Parkway #924, New York, NY",$3413,1,1,,https://streeteasy.com/building/one-park-point/924,Windsor Terrace,,,,Thu Jul 30 · 3:00 PM–7:00 PM,2026-07-30T15:00,2026-07-30T19:00,active,2026-07-28,2026-07-29,base $3900; using net effective rent,streeteasy_html
"11 Ocean Parkway #926, New York, NY",$3250,1,1,,https://streeteasy.com/building/one-park-point/926,Windsor Terrace,,,,Sun Jul 25 · 11:00 AM–4:00 PM,2027-07-25T11:00,2027-07-25T16:00,active,2026-07-27,2026-07-29,base $3900; using net effective rent,streeteasy_html
"1100 Myrtle Avenue #911, New York, NY",$3299,1,1,,https://streeteasy.com/building/the-mc/911,Stuyvesant Heights,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"111 Lawrence Street #49B, Brooklyn, NY",$3414,0,1,404,https://streeteasy.com/building/the-brooklyner/49b,Downtown Brooklyn,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"111 Willoughby Street #17D, New York, NY",$3707,0,1,448,https://streeteasy.com/building/maxwell-downtown/17d,,,,new development,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"111 Willoughby Street #19D, New York, NY",$3842,0,1,448,https://streeteasy.com/building/maxwell-downtown/19d,,,,new development,,,,active,2026-07-27,2026-07-29,base $4191; using net effective rent,streeteasy_html
"111 Willoughby Street #22B, New York, NY",$3739,0,1,453,https://streeteasy.com/building/maxwell-downtown/22b,,,,new development,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"111 Willoughby Street #24D, New York, NY",$3817,0,1,448,https://streeteasy.com/building/maxwell-downtown/24d,,,,new development,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"111 Willoughby Street #25D, New York, NY",$3832,0,1,448,https://streeteasy.com/building/maxwell-downtown/25d,,,,new development,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"111 Willoughby Street #30B, New York, NY",$3806,0,1,453,https://streeteasy.com/building/maxwell-downtown/30b,,,,new development,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"111 Willoughby Street #30D, New York, NY",$3859,0,1,448,https://streeteasy.com/building/maxwell-downtown/30d,,,,new development,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"1134 Fulton Street #5T, Brooklyn, NY",$3552,2,1,,https://streeteasy.com/building/1134-fulton-street-brooklyn/5t,Bedford-Stuyvesant,,,,,,,active,2026-07-27,2026-07-29,base $3875; using net effective rent,streeteasy_html
"1136 Saint Mark's Avenue #2F, Brooklyn, NY",$3575,3,1,,https://streeteasy.com/building/1136-st-marks-avenue-brooklyn/2f,,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"116 John Street #1610, New York, NY",$3650,0,1,,https://streeteasy.com/building/116-john-street-new_york/1610,Financial District,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"117 Albany Avenue #2, Brooklyn, NY",$3204,2,1,,https://streeteasy.com/building/117-albany-avenue-brooklyn/2,Crown Heights,,,,,,,active,2026-07-27,2026-07-29,base $3495; using net effective rent,streeteasy_html
"12 Halsey Street #211, Brooklyn, NY",$3827,2,2,,https://streeteasy.com/building/12-halsey-street-brooklyn/211,,,,new development,,,,active,2026-07-27,2026-07-29,base $4175; using net effective rent,streeteasy_html
